geotype,geoid,geoname,congress,congressOppose,regulate,regulateOppose,fundrenewables,fundrenewablesOppose,worried,worriedOppose,futuregen,futuregenOppose
county,1001,"Autauga County, Alabama",52,31,67,33,74,26,50,50,57,29
county,1003,"Baldwin County, Alabama",51,34,65,35,72,28,51,49,58,30
county,1005,"Barbour County, Alabama",58,23,71,29,76,24,57,43,60,22
county,1007,"Bibb County, Alabama",47,33,63,37,69,31,46,54,52,33
county,1009,"Blount County, Alabama",46,37,61,39,67,33,44,56,52,37
county,1011,"Bullock County, Alabama",63,18,75,25,80,20,63,37,62,17
county,1013,"Butler County, Alabama",54,26,70,30,76,24,54,46,57,24
county,1015,"Calhoun County, Alabama",52,31,67,33,73,27,51,49,57,28
county,1017,"Chambers County, Alabama",53,26,69,31,74,26,53,47,56,26
county,1019,"Cherokee County, Alabama",45,37,62,38,68,32,45,55,52,36
county,1021,"Chilton County, Alabama",46,34,63,37,68,32,46,54,53,35
county,1023,"Choctaw County, Alabama",56,24,71,29,77,23,56,44,59,23
county,1025,"Clarke County, Alabama",56,24,71,29,76,24,55,45,57,23
county,1027,"Clay County, Alabama",48,34,64,36,69,31,48,52,54,32
county,1029,"Cleburne County, Alabama",48,33,64,36,68,32,47,53,55,32
county,1031,"Coffee County, Alabama",49,33,64,36,70,30,47,53,54,33
county,1033,"Colbert County, Alabama",53,29,67,33,74,26,50,50,58,28
county,1035,"Conecuh County, Alabama",57,23,72,28,77,23,56,44,58,23
county,1037,"Coosa County, Alabama",53,27,68,32,74,26,53,47,58,27
county,1039,"Covington County, Alabama",47,33,64,36,70,30,47,53,53,32
county,1041,"Crenshaw County, Alabama",53,28,68,32,72,28,53,47,58,27
county,1043,"Cullman County, Alabama",44,40,60,40,66,34,42,58,50,40
county,1045,"Dale County, Alabama",50,31,65,35,72,28,50,50,55,31
county,1047,"Dallas County, Alabama",63,17,76,24,81,19,64,36,64,16
county,1049,"Dekalb County, Alabama",50,33,64,36,70,30,49,51,55,32
county,1051,"Elmore County, Alabama",50,30,66,34,71,29,50,50,55,31
county,1053,"Escambia County, Alabama",50,30,67,33,72,28,49,51,54,28
county,1055,"Etowah County, Alabama",50,32,66,34,73,27,49,51,55,29
county,1057,"Fayette County, Alabama",46,35,63,37,70,30,45,55,52,35
county,1059,"Franklin County, Alabama",47,34,64,36,69,31,48,52,54,33
county,1061,"Geneva County, Alabama",46,36,62,38,68,32,44,56,51,36
county,1063,"Greene County, Alabama",67,15,78,22,81,19,67,33,66,14
county,1065,"Hale County, Alabama",62,18,76,24,79,21,63,37,65,16
county,1067,"Henry County, Alabama",51,30,67,33,73,27,51,49,55,29
county,1069,"Houston County, Alabama",52,29,67,33,73,27,53,47,57,26
county,1071,"Jackson County, Alabama",44,36,62,38,68,32,44,56,52,34
county,1073,"Jefferson County, Alabama",61,21,75,25,80,20,61,39,65,20
county,1075,"Lamar County, Alabama",44,36,62,38,67,33,43,57,51,35
county,1077,"Lauderdale County, Alabama",55,30,68,32,74,26,55,45,61,27
county,1079,"Lawrence County, Alabama",46,34,64,36,70,30,46,54,52,33
county,1081,"Lee County, Alabama",60,26,70,30,77,23,58,42,63,24
county,1083,"Limestone County, Alabama",48,33,66,34,71,29,51,49,56,31
county,1085,"Lowndes County, Alabama",64,17,76,24,81,19,63,37,63,16
county,1087,"Macon County, Alabama",68,15,79,21,82,18,67,33,67,14
county,1089,"Madison County, Alabama",57,25,73,27,79,21,58,42,63,26
county,1091,"Marengo County, Alabama",61,21,74,26,80,20,58,42,62,21
county,1093,"Marion County, Alabama",45,36,62,38,68,32,44,56,52,36
county,1095,"Marshall County, Alabama",47,36,63,37,70,30,47,53,54,35
county,1097,"Mobile County, Alabama",50,28,72,28,77,23,54,46,57,26
county,1099,"Monroe County, Alabama",57,23,72,28,76,24,57,43,60,21
county,1101,"Montgomery County, Alabama",62,20,75,25,80,20,63,37,65,18
county,1103,"Morgan County, Alabama",49,33,65,35,71,29,50,50,55,31
county,1105,"Perry County, Alabama",63,17,76,24,81,19,63,37,63,17
county,1107,"Pickens County, Alabama",55,26,70,30,77,23,55,45,57,24
county,1109,"Pike County, Alabama",58,24,71,29,76,24,57,43,62,22
county,1111,"Randolph County, Alabama",48,33,64,36,71,29,48,52,53,33
county,1113,"Russell County, Alabama",57,23,71,29,76,24,57,43,61,22
county,1115,"St. Clair County, Alabama",48,34,64,36,70,30,47,53,55,32
county,1117,"Shelby County, Alabama",53,29,69,31,76,24,57,43,63,27
county,1119,"Sumter County, Alabama",65,17,78,22,83,17,65,35,65,16
county,1121,"Talladega County, Alabama",54,27,69,31,73,27,51,49,57,26
county,1123,"Tallapoosa County, Alabama",53,29,67,33,74,26,53,47,58,27
county,1125,"Tuscaloosa County, Alabama",54,26,70,30,77,23,54,46,61,26
county,1127,"Walker County, Alabama",43,36,63,37,66,34,44,56,52,34
county,1129,"Washington County, Alabama",48,31,65,35,71,29,46,54,54,29
county,1131,"Wilcox County, Alabama",63,17,75,25,80,20,64,36,63,17
county,1133,"Winston County, Alabama",46,36,63,37,67,33,46,54,53,35
county,2013,"Aleutians East Borough, Alaska",55,31,64,36,72,28,58,42,67,25
county,2016,"Aleutians West Census Area, Alaska",56,30,66,34,74,26,59,41,68,25
county,2020,"Anchorage Municipality, Alaska",62,27,72,28,81,19,64,36,72,20
county,2050,"Bethel Census Area, Alaska",62,24,71,29,79,21,66,34,72,19
county,2060,"Bristol Bay Borough, Alaska",59,28,71,29,79,21,62,38,70,23
county,2063,"Chugach Census Area, Alaska",59,28,71,29,79,21,62,38,70,23
county,2066,"Copper River Census Area, Alaska",58,28,70,30,78,22,61,39,70,23
county,2068,"Denali Borough, Alaska",61,24,75,25,81,19,63,37,72,21
county,2070,"Dillingham Census Area, Alaska",61,25,71,29,79,21,66,34,72,20
county,2090,"Fairbanks North Star Borough, Alaska",56,29,70,30,78,22,60,40,68,25
county,2100,"Haines Borough, Alaska",65,23,77,23,83,17,68,32,74,19
county,2105,"Hoonah-Angoon Census Area, Alaska",68,20,78,22,84,16,72,28,77,16
county,2110,"Juneau City And Borough, Alaska",67,21,78,22,84,16,71,29,77,16
county,2122,"Kenai Peninsula Borough, Alaska",58,29,70,30,77,23,60,40,68,25
county,2130,"Ketchikan Gateway Borough, Alaska",59,27,71,29,79,21,62,38,71,22
county,2150,"Kodiak Island Borough, Alaska",59,28,70,30,78,22,62,38,70,23
county,2158,"Kusilvak Census Area, Alaska",61,25,70,30,78,22,65,35,71,19
county,2164,"Lake And Peninsula Borough, Alaska",64,23,74,26,82,18,68,32,73,19
county,2170,"Matanuska-Susitna Borough, Alaska",53,33,67,33,74,26,56,44,65,27
county,2180,"Nome Census Area, Alaska",62,24,73,27,81,19,67,33,73,19
county,2185,"North Slope Borough, Alaska",58,28,68,32,74,26,61,39,70,22
county,2188,"Northwest Arctic Borough, Alaska",59,26,69,31,78,22,64,36,70,21
county,2195,"Petersburg Borough, Alaska",60,26,71,29,79,21,64,36,71,22
county,2198,"Prince of Wales-Hyder Census Area, Alaska",62,24,73,27,80,20,66,34,73,20
county,2220,"Sitka City And Borough, Alaska",68,20,78,22,84,16,72,28,77,16
county,2230,"Skagway Municipality, Alaska",69,19,79,21,84,16,72,28,77,15
county,2240,"Southeast Fairbanks Census Area, Alaska",52,33,65,35,72,28,54,46,64,29
county,2275,"Wrangell City And Borough, Alaska",58,28,70,30,77,23,61,39,68,24
county,2282,"Yakutat City And Borough, Alaska",62,25,73,27,80,20,65,35,72,21
county,2290,"Yukon-Koyukuk Census Area, Alaska",66,21,76,24,82,18,71,29,76,16
county,4001,"Apache County, Arizona",58,23,74,26,82,18,64,36,66,19
county,4003,"Cochise County, Arizona",58,27,70,30,77,23,60,40,62,25
county,4005,"Coconino County, Arizona",61,24,74,26,81,19,65,35,68,21
county,4007,"Gila County, Arizona",53,30,68,32,76,24,56,44,60,28
county,4009,"Graham County, Arizona",54,30,67,33,73,27,56,44,60,25
county,4011,"Greenlee County, Arizona",54,29,68,32,74,26,58,42,61,25
